,text
14,AND PHILIPPINES HAS A SERIOUS STATE OF EMERGENCY BECAUSE OF CORRUPT POLITICIANS
15,Like for profit jails.🤨
16,"“But you’re complaining about being here” I’m sorry he has to pretend he’s in a utopia? He’s complaining about his kid facing bullying because of people like you, are you serious?"
17,"Trying to figure out how to respond to this.<br><br>Been seeing more and more of this pop up in this fallen world of ours (faith helps, praise Jesus, I will say that)<br><br>I’m 36. Male. Struggle with Autism, depression, anxiety, PTSD, and I have dealt with both suicidal ideation and survived my own attempts. I was abused by my mother and neglected by my mother. Was bullied in school, and spent alot of time throughout my life alone. Not for lack of trying to make friends but something always usually ended those relationships one way or another.<br><br>I’ve moved around over a dozen times, between 3 states in the US, and 90% of those were in California.<br><br>I spent my teens and early to mid 20s living with my father (parents divorced and married new people). But left his home when his new wife was revealed to be a narcissistic drunk and tried to kill him (and he STAYED with her).<br><br>It was at that point I realized I can’t rely on family.<br><br>I briefly moved back in with Mom, but moved in with a friend in Oklahoma because Mom doesn’t change (still hasn’t).<br><br>The relationship with said friend became complicated when we started becoming intimate and she decided to keep me at arm’s length and I would find out towards the end I was being financially abused. She also didn’t pay her half of the rent so we were nearly evicted. We severed ties.<br><br>I still had to leave that apartment and stayed in a hotel for a month. (She got to stay in the same apartment complex even those there was proof of what she did, so I don’t know where the Justice is there)<br><br>I moved in with another friend only to realize too late that that friend was a narcissist with BPD &amp; a psych degree. Was treated more like a toy or pet than anything there. Was promptly kicked out when I confronted her.<br><br>Became homeless for over a year, spent 8 months in a homeless shelter, was hospitalized for mental health a handful of times.<br><br>Found my faith though, so there’s that.<br><br>I came back to California in September of 2024, but upon seeing again, nothing has changed here with Mom, even after I have spent over 20+ years of therapy, Mom never went to therapy.<br><br>She refuses help and the responsibility of her actions.<br><br>And she fails to see the damage it caused me…<br><br>And what it has done to my younger brother.<br><br>He has a far more severe form of autism (mind of a 3rd grader) and while he actually has had a job, he is now very likely about to lose said job due to him losing his temper multiple times. (Where do you think he learned that behavior from? *sarcasm)<br><br>And I’ve hospitalized myself twice since coming back here.<br><br>I’m still her punching bag.<br><br>And honestly…?<br><br>I’m done.<br><br>I left once. And next month, I’m doing it again.<br><br>Homelessness at least means I only have to worry about myself and rely ONLY on myself.<br><br>We do what we have to in order to survive.<br><br>I’ve had brushes with death.<br><br>And honestly, would rather take my chances out there.<br><br>I’ve had to make peace with this. With what this means. That no member of my family can be trusted. That I can’t turn to whatever is left of my friends either. I’m on my own.<br><br>The only difference between the 1st time I was homeless and now…? (Aside from some prep time) Is that I’m more at peace with it this time around.<br><br>Feels more like a choice. I mean it’s a rock and a hard place kind of thing, neither options are ideal.<br><br>But neither is living a miserable half life when you’re trying to repair your mental health and move forward only for your abuser &amp; your past to be in your face day in and day out.<br><br>Nobody wants this. Either option.<br><br>But sometimes you play the hand you’re dealt.<br><br>As for me, probably leaving California again. Taking the rest of the month to gather supplies and decide a destination, then I’ll take it one day at a time from there.<br><br>That’s all I can do at this point.<br><br>So, brother, while I haven’t been where you are, remember, it can always be so much worse.<br><br>I do wish the best for you and will keep you in prayer!<br><br>Good luck!"
18,A very one sided coverage of the subject matter. Expected better from the Vox community.
19,"Ok I&#39;m 2 minutes in and what I&#39;m going to say is that building even more houses isn&#39;t going to do anything. There&#39;s a sizable number of empty properties, and the ones that are built new are going to a population which is increasing too fast for it, despite sub replacement birth rates.<br><br>Sub replacement birth rates, not enough houses despite half of the country being turned into a grey concrete hellscape. Have a think. <br><br>&quot;Then something happened in 1996 and nobody is sure what, but look how all of these problems all started there and there&#39;s nothing specific we can notice that caused it.&quot; Come off it. Foolishness."
20,Towns on the coast are normally full of<br>Benefit claimants and crackheads with a sprinkling of Migrant Hotels....??
21,Yes...entitled bitch..serves her right...
22,You don&#39;t tell a person to leave if they unintentionally frightened a white girl. That is rude. But you did not deserve to be hurt.
23,Unfortnatly theres a lot of nurses like this why go in the job if you dont care? I had one new years eve took my phone because i recorded them deing me help and deleted the videos
24,I was 6 when I was bullied.
25,"Definitely made thanks to VPN. Here in Sweden, news items about poor-quality Shein and Temu clothes being rejected by second-hand stores and sent to combustion are increasingly common."
26,​​@veiledukhty That&#39;s simply a lie. Muslim women have nowhere near the same rights as men and certainly don&#39;t have equality rights as western women or women in secular democratic countries.
27,I woulda beat the devil outta that POS. Sorry not sorry.
28,"Yes..our reactions to their mean behaviour is always &#39;petty&#39;.....they thrive on Provocation, it&#39;s their drug...so won&#39;t change until they want to give it up.....xx"
29,@SmashLah this jobless obsession is what is actually unholy
30,@D9 you ever think of how someone could just lose their job due to the pandemic? then they&#39;d have to sell their house for food and clothes. not everyone is Mr. Moneybags here.
31,Does this woman have any tangible proof of this Why isn&#39;t  she afraid of the repercussions People can say anything
32,"When women decide to stop over populating the planet, this nonsense will stop."
33,"I just googled how much we have contributed to Ukraine! I know it&#39;s <br>Billions let alone weapons.  See we are humans, and we GIVE to others <br>and think of others 1st! Never about self interest, never about stirring<br> up trouble elsewhere in the world. Always think about our own people <br>first!  Just look at the wars we have been involved since WWII, just <br>&quot;LOOK AT THEM&quot;!  We are making America great again but spreading more <br>love, more military bases across the world, handing out more weapons <br>(but to be fair, we sell more weapons than all other countries <br>combined). :) If you don&#39;t see the sarcasm, then you should run for a <br>position in our government today, you&#39;ll fit right in! :)"
34,She doesn&#39;t have any right to be in the house? It&#39;s her freaking house. This law needs be thrown out. Squatters shouldn&#39;t have any rights
35,What if your parents have been emotionally abusing you? What if you&#39;ve been alone and bullied from a young age and your parents never even asked if you&#39;re okay or gave you a hug or...anything at all? What if you&#39;ve been wanting to commit suicide from the age of 13 but you don&#39;t cause you are scared and ... ?
36,How can I love someone with all my heart and pray for her every night?Catered to her Every needs go to ends of the world with her and .Throw me away like trash.That&#39;s pure heartless
37,Great comment. Millions are celebrating Thanksgiving while Native Americans are fighting for their land and rights. It&#39;s 1621 again.
38,Time is meant to be wasted
39,"Here is a tip for you I learned along time ago. Do not trust anything promulgated by a government agency. Not only are they staffed by scientists who couldn&#39;t make it in the real world, they are so corrupted by politicians, that they issue what they are told. The institutions you named are the worse source of information for the reasons stated. The scariest words in the English language are: I am from the government and I am here to help."
40,"I can speak to what is happening in a place like Pasadena, CA.  1) Lower birth rates and kids, and 2) higher housing costs.  This means families move further east to where there is more affordable housing and many of the schools are no longer needed in communities like Pasadena.  Plus, the higher net worth families that have kids end up choosing private schools in the area."
41,"Indian Hindus are hated in all developed countries of the west. Western society and countries love refugees from Somalia, Burundi, Pakistan etc."
42,"I had three girls in primary school, who bullied me. And one of them wrote me via instagram, that she feel sorry, for what she had done to me.  But I can&#39;t forgive her. These scars in my mind are way to deep, to forgive her. The bullying stopped in grade 3, but I still felt the impact many years after that. In grade 7, I had enough courage, the wear a hoodie, I would have never wore in school before.  And this moment changed my life a bit. Because, since that moment, I wear clothes, wiche I like, not matter if others would wear it or not. I need to like my clothes and not someone else. And I learned this message in this moment in grade 7.  <br><br>Now I am 21, I wear, what I want to wear. And I achieved two graduations, where no one in school would have think about, I would achieve. Now I know, that I can achieve things, when I want to, even if no one think, that I can do it.  And this is important for me.  Many people think, they know me, but they only know one part of me, but I have more than one part."
43,"Thank you for investigating and bringing this to light. It’s easy enough for the common person to understand that we the people need to demand that our government open up welfare programs to actual, REAL, competition to prevent further government spending from spiraling out of control without helping those who need it the most."
44,When the government does nothing to help its people.
45,"This is absolutely insane, these called overseas care workers are granted visa to behave like this ? What non sense is this? They should be fired and deported and for the local workers abusing a vulnerable old lady, they should be dismissed and black listed so they don’t get a job again"
46,I am going through a rough time in my life right now when I feel like everything is just not going right and it is hard not to take things personally. His speech and especially the final part really hit me and I am all teared up.
47,"@jasonwaters9583 Should tell Trump that, since he promised to reduce utility bills..."
48,The native people are the most oppressed people in the history of America. Being made to suffer and feel like a second class citizen in your own ancestral land? That&#39;s just animalistic
49,You skipped past the most important and biggest issue of homelessness and just went right to “just give the homeless houses” as if there isn’t a massive problem with a culture and cycle of homelessness that has been started in the US. Worthless video
50,Always the same type of people ignorant and over weight lazy Council estate background.  I hope they were all arrested and charged with abuse. And a long prison sentence handed down.
51,You have to pay for Zuckers electric bill now.
52,"Yea!!!!!!! Hail Conservertism!!!!!!! hail Income Inquality !!!!!!! Rich become rich and poorer becomes poorer. I am so happy that they are abolishing the estate tax, because me and my 1% pals can keep my money forever!!!! Hahaha, cant wait to move to america and live the american dream (while workers suffer, and politicans helping us to keep our riches, houses, etc.......<br><br>Thank you Fox News!!!!!! Thank you everyone in america!!!!<br><br><b>*Note*</b> This is meant to be a sarcasm. if you have the same view as the above, shame on you"
53,@bluecannibaleyes You refer to normal relationship. There is nothing normal in relationship with a narcissist. I have nothing more to say about it.
54,"In light of this, terrible story. Right now, Tibetan’s and Uighur’s are persecuted."
55,"One word: NUCLEAR.<br><br>If you don&#39;t support nuclear, you&#39;re part of the problem and all your screeching and hand-wringing feels performative and hollow. Many of the same people screaming about climate change are the same people screaming to shut down our existing nuclear plants and prevent construction of new ones, and then scream louder when we use even more fossil fuels to make up for the lost nuclear. What&#39;s it gonna be: 1) <b>guaranteed</b> global civilizational devastation from climate change or 2) an increased risk of <b>possible</b> local devastation from nuclear failures? Nuclear has the highest energy density of any known fuel, it emits zero carbon, and is pretty damn safe. Fukushima was a freak accident and a perfect storm of circumstances. Chernobyl was almost 40 years ago. Other than that, hundreds of nuclear plants have been operating safely for decades. <br><br>But most climate activists don&#39;t care about that because they don&#39;t actually care about solving problems. Most climate activists are in a religion. An apocalyptic doomsday cult of climate alarmism. Ever wonder why some people join doomsday cults, why some people seem to be drawn to the ENDING of the world? Most climate activists are motivated by the <b>morality</b> of climate sin, and they get to lecture others about their sin and how they must atone. Anyone who says the world is ending in 12 years but ALSO says we must not use nuclear is not interested in solving problems. That person is full of shit. That person is in a religion."
56,I had a similar experience with my nanny before too. I was mad at my parents for not having too much time on me and wished my nanny was my mother instead. Kinda makes me sad. I kinda miss my auntie (nanny)
57,"there are no men in New York, they moved out years ago when liberals destroyed it."
58,"More signs of emotional abuse:<br><br>They try to make you feel less or inferior to them<br><br>They try to purposefully lower your self esteem<br><br>They pin the blame for everything on you and others<br><br>If you ever get mad at them they try to make you believe you’re only upset because of something else that happened to you and now you’re taking it out on them for no reason<br><br>When you bring up anything they’ve done wrong to you, they’ll say that they feel attacked or hurt<br><br>They never back up what they say with their actions (if they say they care about you and the next day they completely ignore you)<br><br>They talk to other people about you in a negative way (maybe sometimes even when you’re there)<br><br>If you have a mental illness/disorder/disability they will try to use that against you, or if you don&#39;t they might accuse you of having one<br><br>They repeatedly start talking about a conflict even after it was already resolved in order to spark it up again<br><br>They will lecture you for hours on end when you did nothing wrong<br><br>They point out any mistake you make and criticize you harshly for it<br><br>They compare you to other people<br><br>They act like they’re trying to be understanding when really they’re just attacking you<br><br>They try to make you feel like you’re crazy (gaslighting)<br><br>When you’re around them you have a feeling of anxiety but you don’t understand why<br><br>One second you can be having a great time with them and suddenly they get angry at you out of nowhere<br><br>They accuse you of things you never did (this could very likely be projection) <br><br>They will never let you forget anything you did wrong, even bringing up a small mistake you made years ago<br><br>When you get angry they convince you that they’ve done nothing wrong and they make you think there’s something wrong with you because you got angry<br><br>They never admit they were wrong unless it’s in a way that benefits them<br><br>They’re highly hypocritical <br><br>If they apologize, they don’t apologize for what they did Ex: “I’m sorry you were mad” or “I’m sorry I used the word asshole” (instead of apologizing for calling you an asshole or apologizing for making you mad)<br><br>They belittle you<br><br>They’re unpredictable <br><br>They act like they’re just trying to help when in reality they’re hurting you<br><br>They try to convince you there’s something wrong with you<br><br>They cross your boundaries with full knowledge of what they are doing and do not care about what they’ve done<br><br>They will do things even after you’ve clearly told them no multiple times<br><br>When they lose control over you it makes them lose. their. freaking. mind. It literally drives them insane<br><br>They’re paranoid<br><br>They will use your words against you<br><br>They are inconsistent with how they act towards you, one day they might give you so much attention that you wish they would go away and the next they will completely ignore you for no reason<br><br>(I might have accidentally said some twice with a slightly different wording, if I did, please let me know. I also know a bunch more signs of emotional abuse but there are way too many to list, so I might just add a few more later. Also, a lot of these might be manipulation and not abuse, but they’re pretty much the same thing)<br><br>If you’re wondering how I know so many signs of abuse, I’ll tell you. I have experienced all of this firsthand through my father. My dad is emotionally and mentally abusive to me and my siblings. He was diagnosed with NPD (narcissistic personality disorder) and I honestly believe he has antisocial personality disorder (more commonly known as sociopathy.) All he cares about is control and when he loses control he loses his mind (he even went so far as to throw a rock through my moms window because he was so angry). My dad has caused me to have multiple panic attacks and I just don’t know what to do about him. I have to visit him every other weekend and in Thursdays and my mom is trying to figure it out so that I don’t have to anymore, but for now I just have to wait until I’m 18. I’m just venting right now, so I understand if you don’t care, but talking about it helps, so if you read all this, thanks, I guess"
59,"As a 37 year old Autistic man , its been a weird couple weeks"
60,"I was fine until now when I realised I was fed up with lies, like I&#39;m not overweight or that my face is okay. Realised that&#39;s not the case, trying to change but if I don&#39;t see progress I don&#39;t know what I will do. I thought I was strong but in reality bad but truthful comments really get to me :)"
61,Jeremy Parsons You&#39;re an idiot if you think biological differences between different racial groups to be smarter than others. You are also an idiot if you think it has more to do with genetics than culture.
62,"Anna Rosen True. Sometimes its nice to be on the outside though because you ont ever have to deal with any petty social drama. And plus, because you are on the outside you can see who people really are from a distance and you may see a side to them that they may hide from their friends, so you know to stay away if they have a bad side. I guess thats why I like being on the outside  but I still get lonely . I can avoid being hurt by people by staying away but I also don&#39;t have anyone to help me or to lean on either. Oh well, my pets are my best friends anyways xD"
63,But what happens if it seems like someone is abusing you but you’re actually abusing yourself? Idk if someone’s emotionally abused me and it’s stuck in my system or I have Low-self esteem. Please help...
64,"good step in the right direction for once from this channel. now cover how wage theft is the most pervasive, expensive and frequent crime in the us.<br><br>also mortality has rapidly declined in the past decade here versus everywhere else. so maybe actually be data driven and focus on that."
65,And isn’t that sad that anyone is treated ally. We are a G7 nation with a huge amount of money in the country yet the 1% own everything and still many mps get to claim for feeding horses and cleaning swimming pools!
66,"I&#39;m the Outsider.  My problem is I&#39;ve never worked for a company I felt I wanted to move up in.  I was there for a job.  Learn a new skill, and move on.  But now I&#39;m 38 and feel that backfired dramatically.   Work Ethics means nothing.  Politics does.  We are a heretical ape species.  No matter what you do, this matter most.  Its hardwired into us.  Work Ethics are not."
67,Each AND every day I PRAY TO ALMIGHTY GOD AND JESUS CHRIST  to STOP and SAVE  ALL CHILDREN from VARIOUS forms of HUMAN TRAFFICKING!.....
68,Who Pays for The Maintenance and Repairs for the Section 8? Alot of the People Renting Tear Down and Damage These Properties Without Care at all. You ever seen How Public housing Buidling Look Like? I believe the Landlord is left with all that Bill And Damages.
69,"@rebeccaryan3621  Chauntae Davies and Virginia Giuffre for example. There are lots of videos, pieces of interviews with them on YouTube. If you watch them one after another, you will notice contradictions in their stories which makes you wonder.."
70,"1. The attacker is a woman. <br>2. I will go to prison, lose my job and be labeled a racist woman abuser if I hit her. <br><br>You voted for this."
71,"Olds Alberta will be getting the largest in Canada, right up against the town! And I&#39;ll bet it&#39;s a big company like Google. They&#39;re expanding around the world now. Great..."
72,Rich dad poor dad  teaches  why the  poor and middle class are struggling
73,As if they just watched these kids die
74,We just... don&#39;t.... care.... 70% of West Virginia voted for Donald Trump in the 2024 election. The rest of the world doesn&#39;t want to listen to them cry about problems they voted to make worse.
75,Stop calling convicted criminal asylum seekers!
76,"These poor pensioners were the bread and butter if this country for years, they fought and worked religiously for years for our way of life. And look how they are treated like garbage and left to die with no help or hope for the future. Despicable."
77,"Really?  And how they going to pay for food, housing, necessities?  Do you even understand what you are saying?"
78,Welcome to the class struggle.
79,"In a way I&#39;m so grateful that my mother&#39;s last attack was sooooooo bad, so calculated, so enraged that I don&#39;t regret for a minute cutting all contact. I&#39;m sure I&#39;m the bad person now but I don&#39;t care."
80,"Sudipto Kumar vetoed by China*, Pakistan doesn’t have a veto in the UNSC. Though China is also doing it on their behalf."
81,@keepcreationprocess a lot are not because family can’t agree or can’t be found.
82,my mom has informed me that my dad is toxic and can be very hurtful with words but I still watched this just in case and got 9/10 :/
83,Why wouldn&#39;t parents remove their children from public schools? There is legitimately nothing to gain! Woke nonsense...
84,Who did WV vote for?  That would explain everything.
85,He does this and will still send their children to war for the sake of 🧃like they’re meat bags.
86,"I don&#39;t even make 1000 hahaha but i dont live in the US either. In my country what I earn is not the lowest but we have to live with the minimum. We survive but living  quite minimalistic, which I dont dislike because I hate excessive consumism, but when we have big expenses its totally burden. And well of course, we dont bave enough to buy our own place to live, at all."
87,"Nazi Owned DW. Just FYI, Europe  Nations Especially Germany and Britain have given Racism and discrimination and Slavery to the world. They carried out genocide of native population across the world. Shame on you for not highlighting facts. It still exists in Europe and America Go and see from your naked eyes if you are not blind."
88,"If any Tribe wants to make deals to better their community and get valuable infrastructure built, I say hell yah, don’t let wackado anti civilization activists get in the way, they pretend they want to go back to loin clothes killing and collecting to survive while they live and buy every modern day amenity to live the lazy life"
89,$900 electric bill on a 600q ft studio. Brand new insulation. The monopoly on utilities in west Virginia needs to stop.
90,you have the answer right in at the end of your mfing comment
91,"I wish they would think outside the box: <br>1. You pay managers and supervisors to rotate shifts 24/7<br>2. You give workers the option to work as long as they can<br>3. All breaks are worker driven, and they get paid for how long they worked minus missed quota."
92,It&#39;s happening in America with criminal Dictator Trump in charge open your eyes
93,Canada is an immigrant $hithole ...
94,"@All - It&#39;s disappearing cause of glazier fallacy, and when the gap widens... no one is going to want to work for rich/scam/fraudulent companies any more... specially when A.I is going to replace everyone with their doppelgangers... and hold these companies/they staff, accountable... remember Occupy Movement... Occupy 2.0 is coming/globally and A.I is going to hold them all accountable..."
95,"I grew up in a starter home in the 90s that shared a wall with a neighborhood shopping center, and the noise was worth it to my young parents for being a few blocks away from an elementary school. Lots of young families with kids grew up on that block. The house is now valued at 1.3 million. I visited the neighborhood again recently. Many houses have 4-5 cars packed in. Knowing that kids today are robed of the same childhood infuriates me."
96,"you know, the good men that you call cowards were shamed into silence by women just like this one. those women told men to go to hell with their mid status and toxic masculinity. this woman and all her kind brought this on themselves. the very men that you want to help her were told they were not needed. so get your narrative right on this shit lady. women brought this on themselves. you want a man who has been humiliated, used, and shamed by women to step up and take a knife for the very women who abused him!!!?? go kick rocks."
97,One things I can&#39;t stand is when an overseas Chinese attacking China....Uncle (and Aunties) Toms are everywhere. In this case another &#39;Cinthia&#39;s or Susans or Jonathans). Nobody FORCE them to work or accept low salary (when you converted into US$) but in China itself they are happy to be able to work (or are you prefer the Australian&#39;s way of &#39;Dole Bludgers&#39; where they refused low paying dirty and stay on the dole for years and years? or the States that after 6 months you dont have social security payments anymore and these same people will go a &#39;legalised&#39; robbing stores as long as its under $800? Chinese people are hard workers that&#39;s why China is now an advance nation. If I have a 10 years old kids wants to work during their holiday or free time I ll say go for it. In Australia kids at 14 are allowed to work at get paid lower than adults.....that&#39;s also exploitations isn&#39;t it? Few years ago even female are getting paid lower than men. So stop making contents like these as YOU ARE ALSO EXPLOITING THEM FOR YOUR OWN GAINS.
98,"It’s a dilemma because most politicians are profiting from this system as well, yet is it politics that would have to enforce those taxes…"
99,"so the man is thought to have been the man - look how irresponsible and eager the news is to report something that they cannot even confirm, that no one can confirm: purely for profit the news reports such unreliable things"
100,And I wonder how many of those people voted for Trump? Probably 100%! Hate is expensive! Getting what they voted for!
101,And where are the dads? Nice of you to perpetuate the gender norm that only mothers should take care of their children.
102,There is a saying in my country&quot; A parent doesn&#39;t go wrong&quot;. That is the literal translation. This saying was meant to make children respect their parents but I think such parents misuse it. I guess including mine.
103,its worse when that someone is your own mother 🙃
104,"&quot;India will be a world power by 2020, a force to be reckoned with&quot;<br><br><br><br><br><b>yeah, what about your designated shitting streets and diseases ridden air and water?</b>"
105,"Its exactly the same like in Germany, my father was able to feed the whole family with his income, we had a car and a nice appartmentand my mother took care of us three children. Nowadays we only work for rent and gas and water and electricity and very expensive food  the prices almost doubled and are going up and up and up once a week. We have at least 10 million people living on social security, 5 million illegal migrants who also only live from the german taxpayers money and never will work a day in their live, each months 20.000 come to germany and ask for money, we have the higest taxes in the world and the age for retirement will go up to 70 (!!!). Germany is a 3rd world banana country which spents the whole taxpayers money for India, Syria, Afghanistan, China, Africa, Ukraine and other countries. We Germans shall sit in cold appartments with candles and a big winter jacket, shower cold once a week and eat only once a day - thats what our politicans tell us!! SOLITARY FOR UKRAINE. I hope we will have a civil war soon and start all over again in GERMONEY!!"
106,Doctors misdiagnose ALL the time because they never ever get held accountable for it . Everyone needs to record every encounter with a doctor. Enough of this bullshit of them ruining peoples lives !!!
107,The main thing that makes it worst is the people arround you calling you fat😢
108,"so basically the people who are making the poor, poorer, are retards from WSB"
109,We native American was here before y&#39;all rhis is not your lad if you hate go back where you came from...you was never welcome to your land
110,Remember: the people who rule you ENJOY this sort of activity
111,"<a href=""https://www.youtube.com/watch?v=RfxU4GE4vWM&amp;t=207"">3:27</a> ... I hope my soon to be exwife thinks this way...realizes shes done the smae.  I&#39;m absolutely destroyed right now. (except 5 years together instead of 2)"
112,"SO....you&#39;re afraid to work with men?  Oh, okay....that&#39;s perfectly rational.  We&#39;re all potential rapists, after-all, the Feminists say-so.  We live to be creepy on you, your attractive-level compels us to behave badly because men are unable to control ourselves or our sexual urges......"
113,I wish I could do that 2 w ma bullies ... but the whole class must come  🧐😔
114,"AG Dana Nessel suing Gerald R. Ford International Airport Authority for PFAS contamination of drinking water.  Interesting.  What about the folks in Flint, Dana?"
115,I know that you welcome achieve what you want and they won&#39;t but that doesn&#39;t stop you from crying or from feeling that your life or yourself is worth anything.  I get bullied and sometimes I feel that way.  Now even the smallest things bother whether it&#39;s a joke towards me or just rudeness.
116,THE  UNITED STATE NAVY SEALS WERE ABOUT 5 MILES OFF THE COAST OF THIS BOAT. THEY OFFERED TO HELP AND WAS TURNED DONW
117,why didn&#39;t all those women that were recording put their phones down and step in?
118,What really got to me was the part when Sarah walked past the group of people day after day :/ I know exactly how that feels.
119,"Closer to 4 million, now 500k are in the wind, trying to sneak onto the us"
120,The data centers are going to make those bills even higher. <br>Their electricity is generated with coal. That is far more expensive to maintain. Their utilities are going to keep rising.
121,bill gates owns all the farm lands
122,@benimigisharebecca3776 how does one just ‚cheer up‘?
123,I wonder what those kids are doing now..probably failing in class 😂
124,TIRED OF IMMIGRANTS EXPLOITING THE COUNTRY. THEY GET TO WORK FED TAX FREE..
125,It makes me sad how this is my only life and it’s wasted because I just had to be born with a weak body and a weak mind. And how I’m expected to perform as well as everyone else as an adult after a childhood of people assuming I’d never even speak properly.
126,TIME supports creeps like Ep and associates
127,"Here&#39;s the thing: this needs to be addressed now, or actual class warfare WILL happen at some point. It&#39;s happened before, and it&#39;ll happen again."
128,"buying lottery tickets is like flushing money down the toilet, and balling had a whole different meaning when i was growing up, it was something that was done in the bed."
129,"She is so lucky, she could have been blinded or seriously burned!"
130,Women is just as strong 💪 as men? She should have flipped him over like the movies 🍿
131,"My wife worked for the largest Kidney Dialysis clinic in the US as a social worker and they had incentives within their staff to increase their transplant percentages. However, most of the time, transplants were denied by the actual transplant facilities and not by the dialysis clinic. Sometimes it was due to insurance but often times it was due to people having such poor health that their bodies wouldn’t even be able to withstand the surgery and they would pass from it. <br><br>We are also foster parents and never have gone without receiving the money for our children that we put into savings accounts for them. <br><br>I am confused though how Maximus makes $1600 to save the state $700. That needs to be broken down and explained because I doubt the state would actually pay $900 dollars essentially for Maximus to find kids to not get their money. Like what?"
132,This is why a lot of homeless
133,&quot;I love the current administration&quot; you get what you deserve buddy. Lol
134,Have an American teacher of English write the English questions. The Korean test creators obviously have little command of the American English language.
135,"YOU ALWAYS HAVE A CHOICE!!! I WOULD STARVE TO DEATH BEFORE I WOULD EVER THINK OF SOMETHING AS SICK AS THIS!! <br><br>THESE POOR CHILDREN!! CHILDREN!! <a href=""http://www.youtube.com/results?search_query=%23stopsellingpeople"">#stopsellingpeople</a><br><br>TRUST IN GOD"
136,This makes me lose faith in humanity ☹️
137,Thank you for covering this I work as a healthcare fraud investigator and doctor fraud is a real thing that no one talks about. <br><br>PS - Do a video on the new company called Skywatcher with Jacob Barber. Big UFO story that needs to be covered by real journalists like you and your team.
138,You guys help people without income? My country doesn&#39;t have that.
139,So where is the coverage of  Epstein and that whole web of predators BBC World Service
140,"<b>EASTERN EUROPE IS MUCH MORE CALM AND SAFER THAN WOKE WEST, THE LEFT HAS ROTTEN YOUR SOCIETY</b>"
141,Yeah he is gonna ghost you again. Real life women beat online ones every time.
142,"If you business only survives off of welfare subsidiaries you are not a real business, just a charity case 💅"
143,"It’s funny that many people in South Korea can’t speak English at all. My English isn’t good, but they weren’t able to say a single word in English when I interacted with them. I guess their system is absurd and very corrupt."
144,"It was much bigger in Canada than in Germany before the government introduced caps on international students. Our population grew 3.2% in 2023 due to immigration. Tim Hortons, diploma mills and shady landlords were the biggest beneficiaries of the rampant growth of international students."
145,You see a similar idea in “The Help”. Heartbreaking when a child is ripped away from a person seen as a mother
146,what he doesnt cover because its obvious but i think sheds a light on how this isnt about money but about race: how quickly clean up comes with the vanilla americans start moving in.  its almost instant. and thats the most vulgar part.  trucks spewing mess actually change their routes. that level.
147,Loneliness is like a punishment and it effects all ages. I must have committed some sin in my past life for being so lonely. I don&#39;t have anyone other than my dad and he is so old. I pray to God so that I die before him.
